iter	Passed	Remaining
1272	36286	248759
1273	36315	248738
1274	36344	248708
1275	36373	248687
1276	36376	248483
1277	36405	248458
1278	36435	248439
1279	36464	248411
1280	36493	248386
1281	36521	248357
1282	36524	248158
1283	36553	248129
1284	36581	248100
1285	36611	248078
1286	36639	248053
1287	36669	248033
1288	36697	248001
1289	36727	247978
1290	36756	247956
1291	36786	247937
1292	36815	247911
1293	36844	247890
1294	36877	247889
1295	36905	247862
1296	36935	247838
1297	36963	247807
1298	36992	247783
1299	37022	247762
1300	37049	247727
1301	37077	247694
1302	37106	247672
1303	37134	247641
1304	37163	247616
1305	37192	247586
1306	37220	247555
1307	37246	247515
1308	37274	247480
1309	37302	247448
1310	37331	247423
1311	37360	247396
1312	37387	247358
1313	37415	247327
1314	37443	247296
1315	37472	247270
1316	37501	247246
1317	37530	247226
1318	37558	247188
1319	37587	247166
1320	37616	247143
1321	37654	247174
1322	37692	247207
1323	37723	247194
1324	37754	247182
1325	37782	247151
1326	37811	247125
1327	37839	247093
1328	37868	247073
1329	37896	247038
1330	37925	247014
1331	37954	246992
1332	37982	246955
1333	38011	246931
1334	38040	246909
1335	38069	246882
1336	38098	246854
1337	38127	246829
1338	38157	246809
1339	38186	246787
1340	38215	246759
1341	38244	246736
1342	38247	246543
1343	38276	246520
1344	38306	246497
1345	38333	246459
1346	38362	246435
1347	38390	246404
1348	38419	246380
1349	38448	246353
1350	38477	246332
1351	38507	246312
1352	38537	246291
1353	38564	246254
1354	38594	246234
1355	38623	246210
1356	38651	246176
1357	38680	246152
1358	38708	246120
1359	38736	246093
1360	38766	246069
1361	38795	246048
1362	38824	246023
1363	38855	246006
1364	38884	245985
1365	38912	245950
1366	38941	245928
1367	38970	245902
1368	38999	245873
1369	39028	245850
1370	39057	245825
1371	39086	245800
1372	39114	245770
1373	39144	245747
1374	39172	245717
1375	39201	245692
1376	39230	245669
1377	39259	245644
1378	39287	245611
1379	39315	245578
1380	39344	245553
1381	39373	245531
1382	39403	245511
1383	39433	245490
1384	39463	245470
1385	39490	245436
1386	39520	245414
1387	39549	245391
1388	39579	245368
1389	39608	245342
1390	39637	245317
1391	39665	245289
1392	39694	245265
1393	39724	245241
1394	39753	245218
1395	39780	245177
1396	39809	245154
1397	39838	245130
1398	39866	245100
1399	39895	245073
1400	39924	245049
1401	39953	245022
1402	39983	245001
1403	40012	244976
1404	40041	244952
1405	40071	244929
1406	40098	244893
1407	40126	244863
1408	40155	244840
1409	40185	244815
1410	40213	244786
1411	40241	244755
1412	40270	244731
1413	40299	244706
1414	40328	244677
1415	40357	244650
1416	40384	244616
1417	40413	244592
1418	40443	244568
1419	40472	244546
1420	40502	244523
1421	40531	244497
1422	40560	244471
1423	40588	244444
1424	40617	244418
1425	40646	244392
1426	40675	244368
1427	40703	244337
1428	40733	244313
1429	40762	244290
1430	40791	244262
1431	40820	244239
1432	40849	244214
1433	40878	244189
1434	40906	244155
1435	40935	244131
1436	40965	244108
1437	40994	244085
1438	41023	244060
1439	41051	244028
1440	41080	244004
1441	41110	243981
1442	41138	243953
1443	41166	243920
1444	41194	243890
1445	41222	243857
1446	41250	243828
1447	41279	243799
1448	41308	243775
1449	41337	243751
1450	41366	243721
1451	41395	243698
1452	41423	243666
1453	41451	243632
1454	41478	243599
1455	41508	243576
1456	41538	243555
1457	41568	243537
1458	41596	243505
1459	41625	243483
1460	41655	243460
1461	41685	243438
1462	41714	243417
1463	41743	243390
1464	41773	243369
1465	41802	243344
1466	41830	243313
1467	41858	243279
1468	41888	243258
1469	41917	243238
1470	41947	243217
1471	41978	243202
1472	42009	243188
1473	42041	243176
1474	42073	243171
1475	42103	243152
1476	42133	243131
1477	42163	243111
1478	42193	243091
1479	42223	243073
1480	42253	243049
1481	42283	243032
1482	42314	243015
1483	42346	243005
1484	42376	242989
1485	42407	242972
1486	42438	242957
1487	42468	242936
1488	42499	242922
1489	42530	242907
1490	42559	242883
1491	42585	242841
1492	42616	242822
1493	42645	242797
1494	42675	242776
1495	42704	242753
1496	42733	242729
1497	42764	242710
1498	42792	242681
1499	42821	242656
1500	42851	242633
1501	42880	242609
